测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,4.930866,0.0,0.0,3.703807,,3274.0,-4.930866,0.0,0.0,3.73934016563519
3,4.930866,0.004109,0.165,3.703807,,3277.0,-4.930866,0.004109,0.1681,3.8484027109962784
4,4.930866,0.005479,0.22,3.711868,,3278.0,-4.930866,0.005479,0.2241,3.8001359504250463
5,4.930866,0.006848,0.275,3.721788,,3279.0,-4.930555,0.006848,0.2801,3.7265064879061733
6,4.930866,0.008218,0.33,3.727059,,3280.0,-4.930555,0.008218,0.3361,3.7729493238009395
7,4.930866,0.009588,0.385,3.730469,,3281.0,-4.930866,0.009588,0.3922,3.7891204682726856
8,4.930866,0.010957,0.44,3.740079,,3282.0,-4.930866,0.010957,0.4482,3.7870458473010333
9,4.930866,0.012327,0.495,3.74442,,3283.0,-4.930866,0.012327,0.5042,3.7529492795605797
10,4.930866,0.013697,0.55,3.74783,,3284.0,-4.930866,0.013697,0.5602,3.8343289278261
11,4.930866,0.015067,0.605,3.75527,,3285.0,-4.930866,0.015066,0.6162,3.698953075452149
12,4.930866,0.016436,0.66,3.758991,,3286.0,-4.930866,0.016436,0.6723,3.7433504661560506
13,4.930866,0.017806,0.7149,3.766121,,3287.0,-4.930866,0.017806,0.7283,3.743158295216127
14,4.930866,0.019176,0.7699,3.768601,,3288.0,-4.930866,0.019175,0.7843,3.779845397000892
15,4.930866,0.020545,0.8249,3.772631,,3289.0,-4.930866,0.020545,0.8403,3.7817388954948914
16,4.930866,0.021915,0.8799,3.779142,,3290.0,-4.930866,0.021915,0.8964,3.7760355025412617
17,4.930866,0.023285,0.9349,3.782552,,3291.0,-4.930866,0.023284,0.9524,3.7825074356280304
18,4.930866,0.024654,0.9899,3.786892,,3292.0,-4.930866,0.024654,1.0084,3.7512369456113994
19,4.930866,0.026024,1.0449,3.789372,,3293.0,-4.930866,0.026024,1.0644,3.786335171426488
20,4.930866,0.027394,1.0999,3.795883,,3294.0,-4.930866,0.027394,1.1205,3.7148792536788444
21,4.930866,0.028763,1.1549,3.798053,,3295.0,-4.930866,0.028763,1.1765,3.7529326851477887
22,4.930866,0.030133,1.2099,3.803013,,3296.0,-4.930866,0.030133,1.2325,3.7703558892144793
23,4.930866,0.031503,1.2649,3.805494,,3297.0,-4.930866,0.031503,1.2885,3.764181419069267
24,4.930866,0.032872,1.3199,3.807974,,3298.0,-4.930866,0.032872,1.3446,3.739698484682866
25,4.930866,0.034242,1.3749,3.811694,,3299.0,-4.930555,0.034242,1.4006,3.6716506381191905
