测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,2.029204,0.0,0.0,3.267609,,5770.0,-2.029204,0.0,0.0,4.106179610063243
6,2.029204,0.003382,0.1154,3.267609,,5774.0,-2.029204,0.002255,0.0879,4.104025655126974
7,2.029204,0.003946,0.1346,3.267609,,5775.0,-2.029204,0.002818,0.1099,4.098991478874984
8,2.029204,0.004509,0.1538,3.267609,,5776.0,-2.029204,0.003382,0.1319,4.099974467589718
9,2.029204,0.005073,0.173,3.267609,,5777.0,-2.028832,0.003946,0.1539,4.096165031645841
10,2.028832,0.005637,0.1923,3.27474,,5778.0,-2.028832,0.004509,0.1758,4.097483889217029
11,2.028832,0.0062,0.2115,3.27474,,5779.0,-2.028832,0.005073,0.1978,4.112763276461095
12,2.028832,0.006764,0.2307,3.28125,,5780.0,-2.028832,0.005636,0.2198,4.121738786817149
13,2.028832,0.007327,0.2499,3.28125,,5781.0,-2.028832,0.0062,0.2418,4.100310066422217
14,2.029018,0.007891,0.2692,3.2859,,5782.0,-2.028832,0.006763,0.2637,4.091504978937505
15,2.029018,0.008454,0.2884,3.2859,,5783.0,-2.028832,0.007327,0.2857,4.0855484015557755
16,2.029018,0.009018,0.3076,3.293341,,5784.0,-2.029204,0.007891,0.3077,4.094493786697101
17,2.029018,0.009582,0.3269,3.293341,,5785.0,-2.028832,0.008454,0.3297,4.095795836815187
18,2.029018,0.010145,0.3461,3.298921,,5786.0,-2.029204,0.009018,0.3516,4.089088550035068
19,2.028832,0.010709,0.3653,3.298921,,5787.0,-2.028832,0.009581,0.3736,4.0866218984913685
20,2.028832,0.011272,0.3845,3.303262,,5788.0,-2.028832,0.010145,0.3956,4.093329276950219
21,2.028832,0.011836,0.4037,3.307912,,5789.0,-2.028832,0.010709,0.4176,4.071075902618418
22,2.028832,0.0124,0.423,3.307912,,5790.0,-2.028832,0.011272,0.4395,4.069879491919131
23,2.028832,0.012963,0.4422,3.311942,,5791.0,-2.029204,0.011836,0.4615,4.099958269957
24,2.028832,0.013527,0.4614,3.311942,,5792.0,-2.02939,0.0124,0.4835,4.0555832413777795
25,2.028832,0.01409,0.4806,3.316282,,5793.0,-2.02939,0.012963,0.5055,4.079554739743198
26,2.028832,0.014654,0.4999,3.316282,,5794.0,-2.02939,0.013527,0.5275,4.075195605665471
27,2.028832,0.015217,0.5191,3.321243,,5795.0,-2.029204,0.014091,0.5495,4.072162719113477
28,2.028832,0.015781,0.5383,3.321243,,5796.0,-2.028832,0.014654,0.5714,4.08061649425623
29,2.028832,0.016345,0.5575,3.325273,,5797.0,-2.028832,0.015218,0.5934,4.0748671057876376
30,2.028832,0.016908,0.5768,3.328683,,5798.0,-2.029204,0.015781,0.6154,4.077194067880009
31,2.028832,0.017472,0.596,3.328683,,5799.0,-2.02939,0.016345,0.6374,4.0714479555375
32,2.028832,0.018035,0.6152,3.333023,,5800.0,-2.029204,0.016909,0.6593,4.057607595090078
33,2.028832,0.018599,0.6344,3.333023,,5801.0,-2.029018,0.017472,0.6813,4.06348455013192
34,2.029018,0.019162,0.6537,3.335504,,5802.0,-2.029018,0.018036,0.7033,4.073695151737444
35,2.029018,0.019726,0.6729,3.335504,,5803.0,-2.029018,0.0186,0.7253,4.069359371717674
36,2.028832,0.02029,0.6921,3.340464,,5804.0,-2.029018,0.019163,0.7473,4.053924085676258
37,2.028832,0.020853,0.7113,3.340464,,5805.0,-2.029018,0.019727,0.7692,4.063047719841013
38,2.028832,0.021417,0.7306,3.343564,,5806.0,-2.028832,0.02029,0.7912,4.045276782541212
39,2.028832,0.02198,0.7498,3.343564,,5807.0,-2.028832,0.020854,0.8132,4.067285116396087
40,2.028832,0.022544,0.769,3.348524,,5808.0,-2.029204,0.021418,0.8352,4.061667611625238
41,2.028832,0.023107,0.7882,3.350384,,5809.0,-2.029204,0.021981,0.8571,4.068832291927095
42,2.028832,0.023671,0.8075,3.350384,,5810.0,-2.029204,0.022545,0.8791,4.052407770569457
43,2.029204,0.024235,0.8267,3.355035,,5811.0,-2.028832,0.023109,0.9011,4.069353666865522
44,2.029204,0.024798,0.8459,3.355035,,5812.0,-2.028832,0.023672,0.9231,4.043677139683463
45,2.02939,0.025362,0.8651,3.357825,,5813.0,-2.028832,0.024236,0.9451,4.059114739148966
46,2.02939,0.025926,0.8844,3.357825,,5814.0,-2.028832,0.024799,0.967,4.049602125105354
47,2.029204,0.026489,0.9036,3.360925,,5815.0,-2.029018,0.025363,0.989,4.051201727560677
48,2.029204,0.027053,0.9228,3.360925,,5816.0,-2.029018,0.025926,1.011,4.058156420081377
49,2.02939,0.027617,0.9421,3.363715,,5817.0,-2.029018,0.02649,1.033,4.063950400238479
50,2.02939,0.028181,0.9613,3.363715,,5818.0,-2.029018,0.027054,1.0549,4.05995527769702
51,2.028832,0.028744,0.9805,3.367126,,5819.0,-2.029018,0.027617,1.0769,4.050180666762166
52,2.02939,0.029308,0.9997,3.370846,,5820.0,-2.028832,0.028181,1.0989,4.0749284717768335
53,2.02939,0.029872,1.019,3.370846,,5821.0,-2.028832,0.028744,1.1209,4.039556867206597
54,2.028832,0.030435,1.0382,3.372706,,5822.0,-2.028832,0.029308,1.1428,4.043097549181756
55,2.028832,0.030999,1.0574,3.372706,,5823.0,-2.028832,0.029872,1.1648,4.040764965630488
56,2.028832,0.031562,1.0766,3.375806,,5824.0,-2.028832,0.030435,1.1868,4.051515373171827
57,2.028832,0.032126,1.0959,3.376426,,5825.0,-2.029204,0.030999,1.2088,4.038914288843222
58,2.028832,0.032689,1.1151,3.376426,,5826.0,-2.028832,0.031562,1.2308,4.055864101315303
59,2.028832,0.033253,1.1343,3.380146,,5827.0,-2.028832,0.032126,1.2527,4.058431994236353
60,2.028832,0.033817,1.1535,3.381387,,5828.0,-2.028832,0.03269,1.2747,4.050447896863489
61,2.029204,0.03438,1.1728,3.381387,,5829.0,-2.029204,0.033253,1.2967,4.05381354074948
62,2.029204,0.034944,1.192,3.382936,,5830.0,-2.029204,0.033817,1.3187,4.035028493819899
63,2.029204,0.035508,1.2112,3.386657,,5831.0,-2.029204,0.034381,1.3406,4.0461977385465255
64,2.029204,0.036071,1.2305,3.386657,,5832.0,-2.029204,0.034944,1.3626,4.048975814984654
65,2.02939,0.036635,1.2497,3.386967,,5833.0,-2.028832,0.035508,1.3846,4.041801846789256
66,2.02939,0.037199,1.2689,3.391307,,5834.0,-2.028832,0.036071,1.4066,4.06066097130909
67,2.02939,0.037762,1.2881,3.392237,,5835.0,-2.028832,0.036635,1.4285,4.0354705531945445
68,2.02939,0.038326,1.3074,3.392237,,5836.0,-2.028832,0.037198,1.4505,4.0448561772514875
69,2.029204,0.03889,1.3266,3.394097,,5837.0,-2.028832,0.037762,1.4725,4.027587161685403
70,2.029204,0.039453,1.3458,3.396267,,5838.0,-2.028832,0.038326,1.4945,4.041490791917964
71,2.029018,0.040017,1.3651,3.396267,,5839.0,-2.028832,0.038889,1.5165,4.032445760089271
72,2.029018,0.040581,1.3843,3.399368,,5840.0,-2.028832,0.039453,1.5384,4.0553224709141364
73,2.028832,0.041144,1.4035,3.400918,,5841.0,-2.028832,0.040016,1.5604,4.037730402185912
74,2.028832,0.041708,1.4227,3.400918,,5842.0,-2.028832,0.04058,1.5824,4.04281016819244
75,2.028832,0.042271,1.442,3.402468,,5843.0,-2.029018,0.041143,1.6044,4.044486698702688
76,2.028832,0.042835,1.4612,3.403088,,5844.0,-2.029018,0.041707,1.6263,4.051146918972155
77,2.028832,0.043398,1.4804,3.403088,,5845.0,-2.029018,0.042271,1.6483,4.040567235051887
78,2.029018,0.043962,1.4996,3.406498,,5846.0,-2.029018,0.042834,1.6703,4.031093222395469
79,2.02939,0.044526,1.5189,3.408048,,5847.0,-2.029018,0.043398,1.6923,4.026223626476876
80,2.02939,0.045089,1.5381,3.408048,,5848.0,-2.029018,0.043962,1.7142,4.039960712721555
81,2.029018,0.045653,1.5573,3.408668,,5849.0,-2.029018,0.044525,1.7362,4.05294140388333
82,2.02939,0.046217,1.5765,3.411768,,5850.0,-2.029018,0.045089,1.7582,4.027644190369098
83,2.02939,0.046781,1.5958,3.411768,,5851.0,-2.029018,0.045652,1.7802,4.024472135922469
84,2.02939,0.047344,1.615,3.413008,,5852.0,-2.029018,0.046216,1.8022,4.042812109657124
85,2.02939,0.047908,1.6342,3.414869,,5853.0,-2.028832,0.04678,1.8241,4.036083676048888
86,2.02939,0.048472,1.6535,3.414869,,5854.0,-2.028832,0.047343,1.8461,4.029663239993304
87,2.02939,0.049035,1.6727,3.417349,,5855.0,-2.028832,0.047907,1.8681,4.038209488878668
88,2.028832,0.049599,1.6919,3.417969,,5856.0,-2.029204,0.04847,1.8901,4.04018815228787
89,2.02939,0.050163,1.7111,3.417969,,5857.0,-2.02939,0.049034,1.912,4.032990615772817
90,2.02939,0.050726,1.7304,3.419209,,5858.0,-2.02939,0.049598,1.934,4.038060856302906
91,2.029018,0.05129,1.7496,3.422309,,5859.0,-2.028832,0.050161,1.956,4.051632882183562
92,2.029018,0.051854,1.7688,3.423239,,5860.0,-2.028832,0.050725,1.978,4.033897772434625
93,2.028832,0.052417,1.788,3.426339,,5861.0,-2.028832,0.051288,2.0,4.020756560326635
94,2.028832,0.052981,1.8073,3.426339,,5862.0,-2.029204,0.051852,2.0219,4.04009708450339
95,2.028832,0.053544,1.8265,3.427269,,5863.0,-2.029204,0.052416,2.0439,4.038645251463437
96,2.028832,0.054108,1.8457,3.428199,,5864.0,-2.029204,0.05298,2.0659,4.033525578819569
97,2.028832,0.054671,1.8649,3.428199,,5865.0,-2.029204,0.053543,2.0879,4.03281578521576
98,2.02939,0.055235,1.8842,3.429129,,5866.0,-2.028832,0.054107,2.1098,4.034358418700086
99,2.02939,0.055799,1.9034,3.43223,,5867.0,-2.028832,0.05467,2.1318,4.031447007983707
