测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,5.50223,0.0,0.0,3.557168,,2775.0,-5.50595,0.0,0.0,3.924637214140611
1,5.51711,0.00148,0.058,3.571429,,2776.0,-5.50781,0.0015,0.0589,3.9117956713618534
2,5.50781,0.00312,0.122,3.583829,,2777.0,-5.51153,0.00312,0.1227,3.9228490594614884
3,5.50781,0.00456,0.1783,3.59344,,2778.0,-5.50595,0.00474,0.1865,3.9035356635455587
4,5.50967,0.00618,0.2417,3.603361,,2779.0,-5.50595,0.00636,0.2503,3.889344018171061
5,5.50223,0.0078,0.3051,3.611111,,2780.0,-5.50967,0.00799,0.3141,3.8928423049908996
6,5.50409,0.00942,0.3685,3.619172,,2781.0,-5.50967,0.00961,0.3779,3.8882810590184707
7,5.50595,0.01105,0.432,3.625992,,2782.0,-5.50967,0.01123,0.4417,3.8928873870194747
8,5.50595,0.01267,0.4954,3.632503,,2783.0,-5.50781,0.01285,0.5054,3.883582915038857
9,5.50409,0.01429,0.5588,3.637773,,2784.0,-5.50967,0.01449,0.5698,3.8880622237411604
10,5.50967,0.0159,0.6216,3.643973,,2785.0,-5.50967,0.01611,0.6336,3.867597508960897
11,5.50223,0.01732,0.6772,3.648934,,2786.0,-5.50781,0.01773,0.6974,3.850854975507206
12,5.50595,0.01894,0.7406,3.654514,,2787.0,-5.50781,0.01928,0.7582,3.866148227428897
13,5.50781,0.02052,0.8023,3.658854,,2788.0,-5.50967,0.0209,0.822,3.8740065893861466
15,5.50595,0.02224,0.8699,3.664124,,2789.0,-5.50781,0.02252,0.8857,3.8405896347456774
16,5.50967,0.02387,0.9333,3.668775,,2790.0,-5.50781,0.02414,0.9495,3.8705506019492644
17,5.50967,0.02535,0.9913,3.672805,,2792.0,-5.50595,0.02575,1.0127,3.8546187832341334
18,5.50595,0.02697,1.0547,3.677145,,2793.0,-5.50781,0.02717,1.0687,3.85260406463375
19,5.50967,0.02859,1.1182,3.681176,,2794.0,-5.50595,0.0288,1.1324,3.8640446483759328
20,5.51339,0.03022,1.1816,3.685206,,2795.0,-5.50595,0.03042,1.1962,3.847370879924434
21,5.50967,0.03184,1.245,3.688616,,2796.0,-5.50967,0.03198,1.2576,3.851634671598516
22,5.50967,0.03338,1.3054,3.692336,,2797.0,-5.50967,0.03365,1.3232,3.85140556801464
23,5.50781,0.03493,1.3658,3.695127,,2798.0,-5.50967,0.03507,1.3792,3.8527590202511384
